Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user,Chrome 121.0.0.0,,,13-02-2024 08:43:27,13-02-2024 08:44:57,1m - 30.592s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,13-02-2024 08:43:27,13-02-2024 08:43:59,32.118s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 08:43:27,13-02-2024 08:43:28,1.416s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,13-02-2024 08:43:28,13-02-2024 08:43:36,7.840s,PASSED
delay(10),Chrome 121.0.0.0,,,13-02-2024 08:43:36,13-02-2024 08:43:46,10.015s,PASSED
"click(findTestObject(""Object Repository/user/login/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 08:43:46,13-02-2024 08:43:51,4.820s,PASSED
"setText(findTestObject(""Object Repository/user/login/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 08:43:51,13-02-2024 08:43:52,0.958s,PASSED
passwd = encode(getDefault(password)),Chrome 121.0.0.0,,,13-02-2024 08:43:52,13-02-2024 08:43:52,0.013s,PASSED
"setEncryptedText(findTestObject(""Object Repository/user/login/input_Username_password""), passwd)",Chrome 121.0.0.0,,,13-02-2024 08:43:52,13-02-2024 08:43:53,1.123s,PASSED
"click(findTestObject(""Object Repository/user/login/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 08:43:53,13-02-2024 08:43:54,0.479s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 08:43:54,13-02-2024 08:43:57,3.009s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 08:43:57,13-02-2024 08:43:57,0.097s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,13-02-2024 08:43:59,13-02-2024 08:44:35,36.058s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 08:43:59,13-02-2024 08:44:00,0.632s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,13-02-2024 08:44:00,13-02-2024 08:44:08,8.130s,PASSED
delay(10),Chrome 121.0.0.0,,,13-02-2024 08:44:08,13-02-2024 08:44:18,10.011s,PASSED
"click(findTestObject(""Object Repository/user/login/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 08:44:18,13-02-2024 08:44:20,2.173s,PASSED
"setText(findTestObject(""Object Repository/user/login/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 08:44:20,13-02-2024 08:44:28,7.738s,PASSED
passwd = encode(getDefault(password)),Chrome 121.0.0.0,,,13-02-2024 08:44:28,13-02-2024 08:44:28,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/user/login/input_Username_password""), passwd)",Chrome 121.0.0.0,,,13-02-2024 08:44:28,13-02-2024 08:44:29,1.107s,PASSED
"click(findTestObject(""Object Repository/user/login/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 08:44:29,13-02-2024 08:44:30,1.145s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 08:44:30,13-02-2024 08:44:33,3.003s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 08:44:33,13-02-2024 08:44:33,0.091s,PASSED
,,,,,,,
Test Cases/user/login,Chrome 121.0.0.0,,,13-02-2024 08:44:35,13-02-2024 08:44:57,22.319s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 08:44:35,13-02-2024 08:44:36,0.686s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,13-02-2024 08:44:36,13-02-2024 08:44:39,3.784s,PASSED
delay(10),Chrome 121.0.0.0,,,13-02-2024 08:44:39,13-02-2024 08:44:49,10.006s,PASSED
"click(findTestObject(""Object Repository/user/login/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 08:44:49,13-02-2024 08:44:50,0.261s,PASSED
"setText(findTestObject(""Object Repository/user/login/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 08:44:50,13-02-2024 08:44:51,0.849s,PASSED
passwd = encode(getDefault(password)),Chrome 121.0.0.0,,,13-02-2024 08:44:51,13-02-2024 08:44:51,0.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/user/login/input_Username_password""), passwd)",Chrome 121.0.0.0,,,13-02-2024 08:44:51,13-02-2024 08:44:52,1.125s,PASSED
"click(findTestObject(""Object Repository/user/login/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 08:44:52,13-02-2024 08:44:52,0.474s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 08:44:52,13-02-2024 08:44:55,3.007s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 08:44:55,13-02-2024 08:44:55,0.094s,PASSED
