Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user,Chrome 121.0.0.0,,,07-02-2024 14:54:16,07-02-2024 14:54:43,27.042s,PASSED
,,,,,,,
Test Cases/user/logout,Chrome 121.0.0.0,,,07-02-2024 14:54:16,07-02-2024 14:54:43,26.976s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 14:54:16,07-02-2024 14:54:18,1.763s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,07-02-2024 14:54:18,07-02-2024 14:54:21,2.861s,PASSED
delay(10),Chrome 121.0.0.0,,,07-02-2024 14:54:21,07-02-2024 14:54:31,10.040s,PASSED
"click(findTestObject(""Object Repository/user/logout/login (1)/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:31,0.334s,PASSED
"setText(findTestObject(""Object Repository/user/logout/login (1)/input_OR_username""), username)",Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:31,0.004s,NOT_RUN
passwd = CryptoUtil.encode(CryptoUtil.getDefault(password)),Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:31,0.002s,NOT_RUN
"setEncryptedText(findTestObject(""Object Repository/user/logout/login (1)/input_Username_password""), passwd)",Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:31,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/user/logout/login (1)/button_SIGN IN""))",Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:31,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/user/logout/Page_Advantage Shopping/input_OR_username""), ""jalu1"")",Chrome 121.0.0.0,,,07-02-2024 14:54:31,07-02-2024 14:54:32,0.918s,PASSED
"click(findTestObject(""Object Repository/user/logout/Page_Advantage Shopping/label_Password""))",Chrome 121.0.0.0,,,07-02-2024 14:54:32,07-02-2024 14:54:33,1.112s,PASSED
"setEncryptedText(findTestObject(""Object Repository/user/logout/Page_Advantage Shopping/input_Username_password""), ""3Z9vEXbPUsDx7GK4ygoAtA=="")",Chrome 121.0.0.0,,,07-02-2024 14:54:33,07-02-2024 14:54:34,0.506s,PASSED
"click(findTestObject(""Object Repository/user/logout/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,07-02-2024 14:54:34,07-02-2024 14:54:34,0.608s,PASSED
delay(5),Chrome 121.0.0.0,,,07-02-2024 14:54:34,07-02-2024 14:54:39,5.008s,PASSED
"click(findTestObject(""Object Repository/user/logout/svg_jalu1_menuUser""))",Chrome 121.0.0.0,,,07-02-2024 14:54:39,07-02-2024 14:54:40,0.286s,PASSED
"click(findTestObject(""Object Repository/user/logout/label_Sign out""))",Chrome 121.0.0.0,,,07-02-2024 14:54:40,07-02-2024 14:54:40,0.267s,PASSED
delay(3),Chrome 121.0.0.0,,,07-02-2024 14:54:40,07-02-2024 14:54:43,3.011s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,07-02-2024 14:54:43,07-02-2024 14:54:43,0.106s,PASSED
